density,p_random,min_tenure,u_threshold,alpha,Run,dissimilarity,exposure
0.7029296875,0.09980468750000002,3.87890625,7.478515625,0.64140625,0.0,0.5955555555555555,0.39724867724867724
0.8689453125,0.09980468750000002,3.87890625,7.478515625,0.64140625,1.0,0.5952380952380952,0.40586647029946
0.7029296875,0.1794921875,3.87890625,7.478515625,0.64140625,2.0,0.5952380952380952,0.40586647029946
0.7029296875,0.09980468750000002,3.73828125,7.478515625,0.64140625,3.0,0.5952380952380952,0.40586647029946
0.7029296875,0.09980468750000002,3.87890625,7.263671875,0.64140625,4.0,0.5952380952380952,0.40586647029946
0.7029296875,0.09980468750000002,3.87890625,7.478515625,0.58984375,5.0,0.5952380952380952,0.40586647029946
0.7029296875,0.1794921875,3.73828125,7.263671875,0.58984375,6.0,0.5952380952380952,0.40586647029946
0.8689453125,0.09980468750000002,3.73828125,7.263671875,0.58984375,7.0,0.6309106098579783,0.39191663368948687
0.8689453125,0.1794921875,3.87890625,7.263671875,0.58984375,8.0,0.8420123565754634,0.1978129441550746
0.8689453125,0.1794921875,3.73828125,7.478515625,0.58984375,9.0,0.7457627118644069,0.31470313708617526
0.8689453125,0.1794921875,3.73828125,7.263671875,0.64140625,10.0,0.62015503875969,0.4366305777967703
0.8689453125,0.1794921875,3.73828125,7.263671875,0.58984375,11.0,0.6299694189602446,0.3763062576878011
0.8279296875,0.17480468750000003,5.37890625,8.728515625,0.34140625,12.0,0.6299694189602446,0.3763062576878011
0.7439453125,0.17480468750000003,5.37890625,8.728515625,0.34140625,13.0,0.62015503875969,0.4366305777967703
0.8279296875,0.10449218750000001,5.37890625,8.728515625,0.34140625,14.0,0.7457627118644069,0.31470313708617526
0.8279296875,0.17480468750000003,5.23828125,8.728515625,0.34140625,15.0,0.8420123565754634,0.1978129441550746
0.8279296875,0.17480468750000003,5.37890625,8.513671875,0.34140625,16.0,0.8420123565754634,0.1978129441550746
0.8279296875,0.17480468750000003,5.37890625,8.728515625,0.28984375,17.0,0.7457627118644069,0.31470313708617526
0.8279296875,0.10449218750000001,5.23828125,8.513671875,0.28984375,18.0,0.62015503875969,0.4366305777967703
0.7439453125,0.17480468750000003,5.23828125,8.513671875,0.28984375,19.0,0.6299694189602446,0.3763062576878011
0.7439453125,0.10449218750000001,5.37890625,8.513671875,0.28984375,20.0,0.5952380952380952,0.40586647029946
0.7439453125,0.10449218750000001,5.23828125,8.728515625,0.28984375,21.0,0.6309106098579783,0.39191663368948687
0.7439453125,0.10449218750000001,5.23828125,8.513671875,0.34140625,22.0,0.62015503875969,0.4366305777967703
0.7439453125,0.10449218750000001,5.23828125,8.513671875,0.28984375,23.0,0.6299694189602446,0.3763062576878011
0.8904296875,0.062304687500000004,3.12890625,8.103515625,0.19140625,24.0,0.8062015503875969,0.23867401788058423
0.8064453125,0.062304687500000004,3.12890625,8.103515625,0.19140625,25.0,0.8062015503875969,0.23867401788058423
0.8904296875,0.14199218750000003,3.12890625,8.103515625,0.19140625,26.0,0.7897196261682243,0.259441812828063
0.8904296875,0.062304687500000004,5.98828125,8.103515625,0.19140625,27.0,0.7999999999999999,0.24137931034482757
0.8904296875,0.062304687500000004,3.12890625,9.138671875,0.19140625,28.0,0.22812846068660023,0.6442559099514682
0.8904296875,0.062304687500000004,3.12890625,8.103515625,0.13984375,29.0,0.674954954954955,0.3550228853988252
0.8904296875,0.14199218750000003,5.98828125,9.138671875,0.13984375,30.0,0.6814814814814815,0.3297777777777777
0.8064453125,0.062304687500000004,5.98828125,9.138671875,0.13984375,31.0,0.6814814814814815,0.3297777777777777
0.8064453125,0.14199218750000003,3.12890625,9.138671875,0.13984375,32.0,0.6814814814814815,0.3297777777777777
0.8064453125,0.14199218750000003,5.98828125,8.103515625,0.13984375,33.0,0.674954954954955,0.3550228853988252
0.8064453125,0.14199218750000003,5.98828125,9.138671875,0.19140625,34.0,0.22812846068660023,0.6442559099514682
0.8064453125,0.14199218750000003,5.98828125,9.138671875,0.13984375,35.0,0.7999999999999999,0.24137931034482757
0.7654296875,0.13730468750000002,4.62890625,9.353515625,0.49140625000000004,36.0,0.8062015503875969,0.23867401788058423
0.9314453125,0.13730468750000002,4.62890625,9.353515625,0.49140625000000004,37.0,0.6888888888888888,0.35394649794649796
0.7654296875,0.06699218750000001,4.62890625,9.353515625,0.49140625000000004,38.0,0.6888888888888888,0.35394649794649796
0.7654296875,0.13730468750000002,4.48828125,9.353515625,0.49140625000000004,39.0,0.6888888888888888,0.35394649794649796
0.7654296875,0.13730468750000002,4.62890625,7.888671875,0.49140625000000004,40.0,0.6888888888888888,0.35394649794649796
0.7654296875,0.13730468750000002,4.62890625,9.353515625,0.43984375,41.0,0.6888888888888888,0.35394649794649796
0.7654296875,0.06699218750000001,4.48828125,7.888671875,0.43984375,42.0,0.6888888888888888,0.35394649794649796
